                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76075,                 3.0351,                 1.1861,                0.61296,                 0.8712,                0.88818,                0.61677,                 1.3921,                 1.2961,                 1.2456,                      0,                      0,                      0
                      1,                 1.1136,                 2.5979,                 1.3673,                0.58709,                0.89425,                0.88797,                0.61509,                 1.4213,                 1.3186,                 1.2552,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      2,                 1.1802,                 2.5644,                 1.3671,                0.55634,                0.86837,                0.87428,                0.60934,                 1.4423,                  1.341,                 1.2644,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      3,                 1.2792,                 2.8692,                 1.5887,                0.56105,                0.83333,                 0.8333,                0.60049,                 1.4415,                 1.3679,                 1.2639,              3.464e-06,              3.464e-06,              3.464e-06
                      4,                 1.1981,                 2.4051,                 1.5346,                 0.5853,                0.83333,                0.87205,                0.61479,                 1.4532,                 1.4066,                 1.2711,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      5,                0.72473,                  2.984,                 1.2305,                0.69686,                   0.75,                0.87209,                 0.5819,                 1.4821,                  1.469,                 1.2822,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      6,                 1.1664,                 3.0913,                 1.4843,                0.82177,                0.57967,                0.88466,                0.58148,                 1.5016,                 1.5216,                  1.298,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      7,                 1.1317,                 2.9483,                 1.4354,                0.81347,                0.58333,                0.88606,                0.55863,                 1.5145,                 1.5705,                  1.312,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      8,                 1.1274,                 2.6255,                 1.2827,                0.78979,                0.58333,                0.88614,                0.55031,                  1.514,                 1.6413,                 1.3149,              8.766e-06,              8.766e-06,              8.766e-06
                      9,                 1.1108,                 3.2772,                 1.3982,                0.77058,                0.58333,                 0.8711,                0.55199,                 1.5396,                 1.7073,                  1.337,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     10,                0.89598,                 2.1059,                 1.2335,                0.73702,                0.58333,                0.74423,                0.53357,                 1.5129,                 1.7142,                 1.3261,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     11,                 1.7743,                 3.1005,                  2.246,                0.71305,                0.58333,                0.74266,                0.52374,                 1.5038,                 1.7697,                 1.3261,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     12,                  1.154,                 2.1231,                 1.5519,                 0.7345,                0.58333,                0.74153,                 0.5236,                 1.4999,                 1.7797,                  1.323,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     13,                0.98327,                 1.9172,                 1.3647,                0.94527,                0.38163,                 0.7415,                0.52367,                 1.5014,                 1.8001,                 1.3212,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     14,                 1.0536,                 2.8912,                 1.5107,                0.94631,                0.38259,                0.65748,                0.49813,                 1.5145,                 1.8192,                 1.3303,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     15,                 1.2551,                 2.6582,                 1.4921,                0.94688,                0.38317,                0.61835,                0.46211,                 1.5314,                 1.8498,                  1.342,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     16,                 1.4472,                 2.0779,                 1.7806,                0.94518,                0.38333,                0.61625,                 0.4577,                 1.5473,                 1.8693,                 1.3465,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     17,                 1.3441,                 3.5128,                 1.6178,                0.94518,                0.38333,                0.61625,                 0.4577,                 1.5473,                 1.8693,                 1.3465,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     18,                0.83895,                 1.7588,                 1.2668,                0.94533,                0.38333,                0.60912,                0.43852,                 1.6064,                 1.9622,                 1.3841,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     19,                 1.1408,                 1.8781,                 1.5099,                0.94533,                0.38333,                0.60912,                0.43852,                 1.6064,                 1.9622,                 1.3841,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     20,                 1.9755,                 5.3054,                 2.2588,                0.94174,                0.37528,                0.61003,                0.44143,                 1.6399,                 2.0644,                 1.4129,             1.9088e-05,             1.9088e-05,             1.9088e-05
